Frequency (Hz),	Level (dB)
20327.343750	,-123.366463
20370.410156	,-123.358589
20413.476562	,-123.295258
20456.542969	,-123.293747
20499.609375	,-123.553192
20542.675781	,-123.359787
20585.742188	,-123.508759
20628.808594	,-123.627151
20671.875000	,-123.558006
20714.941406	,-123.343079
20758.007812	,-123.304565
20801.074219	,-123.247292
20844.140625	,-123.361771
20887.207031	,-123.421532
20930.273438	,-123.357491
20973.339844	,-123.212975
21016.406250	,-123.128815
21059.472656	,-123.196152
21102.539062	,-123.473793
21145.605469	,-123.599068
21188.671875	,-123.503471
21231.738281	,-123.325699
21274.804688	,-123.391014
21317.871094	,-123.360283
21360.937500	,-123.491783
21404.003906	,-123.472244
21447.070312	,-123.323494
21490.136719	,-123.277267
21533.203125	,-123.302757
21576.269531	,-123.561493
21619.335938	,-123.635475
21662.402344	,-123.542580
21705.468750	,-123.613617
21748.535156	,-123.477180
21791.601562	,-123.517838
21834.667969	,-123.477539
21877.734375	,-123.303703
21920.800781	,-123.347847
21963.867188	,-123.522636
22006.933594	,-123.430099
